"nav","nav_date","fund_name","daily_return"
38.38,2020-05-14,"Axis Mid Cap",-0.00233948531323099
38.38,2020-05-14,"Axis Mid Cap",0
38.25,2020-05-15,"Axis Mid Cap",-0.00338718082334556
38.25,2020-05-15,"Axis Mid Cap",0
37.19,2020-05-18,"Axis Mid Cap",-0.0277124183006537
37.19,2020-05-18,"Axis Mid Cap",0
37.38,2020-05-19,"Axis Mid Cap",0.00510890024200067
37.38,2020-05-19,"Axis Mid Cap",0
37.98,2020-05-20,"Axis Mid Cap",0.016051364365971
37.98,2020-05-20,"Axis Mid Cap",0
38.2,2020-05-21,"Axis Mid Cap",0.00579252238020026
38.2,2020-05-21,"Axis Mid Cap",0
37.96,2020-05-22,"Axis Mid Cap",-0.00628272251308906
37.96,2020-05-22,"Axis Mid Cap",0
38.1,2020-05-26,"Axis Mid Cap",0.00368809272918863
38.1,2020-05-26,"Axis Mid Cap",0
38.01,2020-05-27,"Axis Mid Cap",-0.00236220472440954
38.01,2020-05-27,"Axis Mid Cap",0
38.5,2020-05-28,"Axis Mid Cap",0.0128913443830571
38.5,2020-05-28,"Axis Mid Cap",0
38.74,2020-05-29,"Axis Mid Cap",0.00623376623376629
38.74,2020-05-29,"Axis Mid Cap",0
39.67,2020-06-01,"Axis Mid Cap",0.0240061951471347
39.67,2020-06-01,"Axis Mid Cap",0
40.16,2020-06-02,"Axis Mid Cap",0.0123519032014115
40.16,2020-06-02,"Axis Mid Cap",0
40.38,2020-06-03,"Axis Mid Cap",0.00547808764940254
40.38,2020-06-03,"Axis Mid Cap",0
40.25,2020-06-04,"Axis Mid Cap",-0.00321941555225365
40.25,2020-06-04,"Axis Mid Cap",0
40.69,2020-06-05,"Axis Mid Cap",0.0109316770186335
40.69,2020-06-05,"Axis Mid Cap",0
40.5,2020-06-08,"Axis Mid Cap",-0.00466945195379695
40.5,2020-06-08,"Axis Mid Cap",0
40.21,2020-06-09,"Axis Mid Cap",-0.00716049382716047
40.21,2020-06-09,"Axis Mid Cap",0
40.48,2020-06-10,"Axis Mid Cap",0.00671474757522994
40.48,2020-06-10,"Axis Mid Cap",0
40.11,2020-06-11,"Axis Mid Cap",-0.00914031620553353
40.11,2020-06-11,"Axis Mid Cap",0
40.3,2020-06-12,"Axis Mid Cap",0.0047369733233607
40.3,2020-06-12,"Axis Mid Cap",0
39.98,2020-06-15,"Axis Mid Cap",-0.00794044665012408
39.98,2020-06-15,"Axis Mid Cap",0
40.15,2020-06-16,"Axis Mid Cap",0.00425212606303156
40.15,2020-06-16,"Axis Mid Cap",0
40.18,2020-06-17,"Axis Mid Cap",0.000747198007472008
40.18,2020-06-17,"Axis Mid Cap",0
40.48,2020-06-18,"Axis Mid Cap",0.00746640119462412
40.48,2020-06-18,"Axis Mid Cap",0
40.83,2020-06-19,"Axis Mid Cap",0.00864624505928857
40.83,2020-06-19,"Axis Mid Cap",0
41.09,2020-06-22,"Axis Mid Cap",0.00636786676463397
41.09,2020-06-22,"Axis Mid Cap",0
41.6,2020-06-23,"Axis Mid Cap",0.0124117790216597
41.6,2020-06-23,"Axis Mid Cap",0
41.19,2020-06-24,"Axis Mid Cap",-0.00985576923076932
41.19,2020-06-24,"Axis Mid Cap",0
41.47,2020-06-25,"Axis Mid Cap",0.00679776644816706
41.47,2020-06-25,"Axis Mid Cap",0
41.54,2020-06-26,"Axis Mid Cap",0.00168796720520859
41.18,2020-06-29,"Axis Mid Cap",-0.00866634569090032
41.08,2020-06-30,"Axis Mid Cap",-0.00242836328314719
41.1,2020-07-01,"Axis Mid Cap",0.00048685491723474
41.4,2020-07-02,"Axis Mid Cap",0.00729927007299263
41.53,2020-07-03,"Axis Mid Cap",0.00314009661835755
41.99,2020-07-06,"Axis Mid Cap",0.0110763303635926
42.23,2020-07-07,"Axis Mid Cap",0.00571564658251953
41.98,2020-07-08,"Axis Mid Cap",-0.00591996211224248
42.18,2020-07-09,"Axis Mid Cap",0.00476417341591241
42.12,2020-07-10,"Axis Mid Cap",-0.00142247510668569
41.81,2020-07-13,"Axis Mid Cap",-0.00735992402659058
41.62,2020-07-14,"Axis Mid Cap",-0.0045443673762259
41.68,2020-07-15,"Axis Mid Cap",0.00144161460836142
41.85,2020-07-16,"Axis Mid Cap",0.00407869481765839
42.23,2020-07-17,"Axis Mid Cap",0.0090800477897251
42.57,2020-07-20,"Axis Mid Cap",0.00805114847264986
42.44,2020-07-21,"Axis Mid Cap",-0.00305379375146823
42.48,2020-07-22,"Axis Mid Cap",0.000942507068802996
42.75,2020-07-23,"Axis Mid Cap",0.0063559322033899
42.6,2020-07-24,"Axis Mid Cap",-0.00350877192982453
42.12,2020-07-27,"Axis Mid Cap",-0.0112676056338029
42.28,2020-07-28,"Axis Mid Cap",0.00379867046533722
42.59,2020-07-29,"Axis Mid Cap",0.00733207190160838
42.51,2020-07-30,"Axis Mid Cap",-0.00187837520544741
42.9,2020-07-31,"Axis Mid Cap",0.00917431192660552
43.06,2020-08-03,"Axis Mid Cap",0.00372960372960382
43.47,2020-08-04,"Axis Mid Cap",0.00952159777055264
43.72,2020-08-05,"Axis Mid Cap",0.00575109270761445
44.4,2020-08-06,"Axis Mid Cap",0.0155535224153705
44.43,2020-08-07,"Axis Mid Cap",0.000675675675675701
44.74,2020-08-10,"Axis Mid Cap",0.00697726761197394
44.51,2020-08-11,"Axis Mid Cap",-0.00514081358962906
44.31,2020-08-12,"Axis Mid Cap",-0.00449337227589296
44.62,2020-08-13,"Axis Mid Cap",0.00699616339426755
44.39,2020-08-14,"Axis Mid Cap",-0.00515463917525766
44.42,2020-08-17,"Axis Mid Cap",0.000675827889164252
45.06,2020-08-18,"Axis Mid Cap",0.0144079243583971
45.3,2020-08-19,"Axis Mid Cap",0.00532623169107845
45.54,2020-08-20,"Axis Mid Cap",0.00529801324503316
45.97,2020-08-21,"Axis Mid Cap",0.00944224857268335
46.25,2020-08-24,"Axis Mid Cap",0.00609092886665219
46.39,2020-08-25,"Axis Mid Cap",0.00302702702702704
46.59,2020-08-26,"Axis Mid Cap",0.00431127398146158
46.44,2020-08-27,"Axis Mid Cap",-0.003219575016098
46.64,2020-08-28,"Axis Mid Cap",0.00430663221360902
45.02,2020-08-31,"Axis Mid Cap",-0.0347341337907375
45.31,2020-09-01,"Axis Mid Cap",0.00644158151932472
45.9,2020-09-02,"Axis Mid Cap",0.013021408077687
46.19,2020-09-03,"Axis Mid Cap",0.00631808278867101
45.64,2020-09-04,"Axis Mid Cap",-0.0119073392509201
45.4,2020-09-07,"Axis Mid Cap",-0.00525854513584579
45.04,2020-09-08,"Axis Mid Cap",-0.00792951541850219
44.8,2020-09-09,"Axis Mid Cap",-0.00532859680284196
45.11,2020-09-10,"Axis Mid Cap",0.00691964285714291
45.22,2020-09-11,"Axis Mid Cap",0.00243848370649522
46.35,2020-09-14,"Axis Mid Cap",0.0249889429455993
46.9,2020-09-15,"Axis Mid Cap",0.011866235167206
47.14,2020-09-16,"Axis Mid Cap",0.00511727078891262
46.97,2020-09-17,"Axis Mid Cap",-0.00360627916843449
46.93,2020-09-18,"Axis Mid Cap",-0.00085160740898444
45.65,2020-09-21,"Axis Mid Cap",-0.027274664393778
45.35,2020-09-22,"Axis Mid Cap",-0.00657174151150049
45.33,2020-09-23,"Axis Mid Cap",-0.00044101433296589
44.53,2020-09-24,"Axis Mid Cap",-0.0176483564968012
45.2,2020-09-25,"Axis Mid Cap",0.0150460363799686
46.13,2020-09-28,"Axis Mid Cap",0.020575221238938
46.28,2020-09-29,"Axis Mid Cap",0.00325168003468456
46.64,2020-09-30,"Axis Mid Cap",0.00777873811581675
46.89,2020-10-01,"Axis Mid Cap",0.00536020583190394
46.66,2020-10-05,"Axis Mid Cap",-0.00490509703561535
46.85,2020-10-06,"Axis Mid Cap",0.00407201028718399
46.59,2020-10-07,"Axis Mid Cap",-0.00554962646744926
46.82,2020-10-08,"Axis Mid Cap",0.00493668169135001
46.73,2020-10-09,"Axis Mid Cap",-0.0019222554463905
46.87,2020-10-12,"Axis Mid Cap",0.00299593408945004
46.72,2020-10-13,"Axis Mid Cap",-0.00320034136974608
46.78,2020-10-14,"Axis Mid Cap",0.00128424657534251
46.06,2020-10-15,"Axis Mid Cap",-0.0153911928174433
46.38,2020-10-16,"Axis Mid Cap",0.00694745983499783
46.42,2020-10-19,"Axis Mid Cap",0.000862440707201362
46.64,2020-10-20,"Axis Mid Cap",0.00473933649289097
46.58,2020-10-21,"Axis Mid Cap",-0.001286449399657
46.84,2020-10-22,"Axis Mid Cap",0.00558179476170041
47,2020-10-23,"Axis Mid Cap",0.00341588385994869
46.42,2020-10-26,"Axis Mid Cap",-0.0123404255319149
47.3,2020-10-27,"Axis Mid Cap",0.0189573459715639
46.97,2020-10-28,"Axis Mid Cap",-0.00697674418604648
46.88,2020-10-29,"Axis Mid Cap",-0.00191611667021495
47.06,2020-10-30,"Axis Mid Cap",0.003839590443686
47.3,2020-11-02,"Axis Mid Cap",0.00509987250318731
47.67,2020-11-03,"Axis Mid Cap",0.00782241014799164
48.1,2020-11-04,"Axis Mid Cap",0.00902034822739668
