NAV,Date
32.1731,24-Apr-20
32.6064,27-Apr-20
32.6064,27-Apr-20
32.7561,28-Apr-20
32.7561,28-Apr-20
33.243,29-Apr-20
33.243,29-Apr-20
33.5071,30-Apr-20
33.5071,30-Apr-20
32.5819,04-May-20
32.5819,04-May-20
32.3511,05-May-20
32.3511,05-May-20
32.4658,06-May-20
32.4658,06-May-20
32.5144,07-May-20
32.5144,07-May-20
32.1511,08-May-20
32.1511,08-May-20
31.985,11-May-20
31.985,11-May-20
31.6658,12-May-20
31.6658,12-May-20
32.238,13-May-20
32.238,13-May-20
32.0231,14-May-20
32.0231,14-May-20
32.0878,15-May-20
32.0878,15-May-20
31.1193,18-May-20
31.1193,18-May-20
30.9759,19-May-20
30.9759,19-May-20
31.3352,20-May-20
31.3352,20-May-20
31.6352,21-May-20
31.6352,21-May-20
31.4312,22-May-20
31.4312,22-May-20
31.6236,26-May-20
31.6236,26-May-20
31.9293,27-May-20
31.9293,27-May-20
32.3973,28-May-20
32.3973,28-May-20
32.8181,29-May-20
32.8181,29-May-20
33.625,01-Jun-20
33.625,01-Jun-20
34.1451,02-Jun-20
34.1451,02-Jun-20
34.5723,03-Jun-20
34.5723,03-Jun-20
34.7122,04-Jun-20
34.7122,04-Jun-20
35.433,05-Jun-20
35.433,05-Jun-20
35.7295,08-Jun-20
35.7295,08-Jun-20
35.3971,09-Jun-20
35.3971,09-Jun-20
35.5519,10-Jun-20
35.5519,10-Jun-20
35.0666,11-Jun-20
35.0666,11-Jun-20
35.0847,12-Jun-20
35.0847,12-Jun-20
35.1595,15-Jun-20
35.1595,15-Jun-20
35.1779,16-Jun-20
35.1779,16-Jun-20
35.4446,17-Jun-20
35.4446,17-Jun-20
35.8671,18-Jun-20
35.8671,18-Jun-20
36.4925,19-Jun-20
36.4925,19-Jun-20
36.8749,22-Jun-20
36.8749,22-Jun-20
37.4999,23-Jun-20
37.4999,23-Jun-20
37.1197,24-Jun-20
37.1197,24-Jun-20
37.2629,25-Jun-20
37.2629,25-Jun-20
37.4087,26-Jun-20
37.1191,29-Jun-20
37.0013,30-Jun-20
37.0935,01-Jul-20
37.3008,02-Jul-20
37.3838,03-Jul-20
38.0173,06-Jul-20
38.1269,07-Jul-20
38.0916,08-Jul-20
38.3579,09-Jul-20
38.1472,10-Jul-20
38.0607,13-Jul-20
37.7833,14-Jul-20
37.7238,15-Jul-20
37.7763,16-Jul-20
38.2583,17-Jul-20
38.5478,20-Jul-20
38.7288,21-Jul-20
38.6639,22-Jul-20
38.984,23-Jul-20
38.9349,24-Jul-20
38.5451,27-Jul-20
38.8511,28-Jul-20
38.918,29-Jul-20
38.5612,30-Jul-20
38.9123,31-Jul-20
39.2562,03-Aug-20
39.7385,04-Aug-20
40.0854,05-Aug-20
40.4057,06-Aug-20
40.8994,07-Aug-20
41.4891,10-Aug-20
41.5439,11-Aug-20
41.6825,12-Aug-20
42.2192,13-Aug-20
41.8055,14-Aug-20
42.1297,17-Aug-20
42.5446,18-Aug-20
43.0216,19-Aug-20
43.333,20-Aug-20
44.1043,21-Aug-20
45.1885,24-Aug-20
45.3978,25-Aug-20
45.9379,26-Aug-20
45.9582,27-Aug-20
45.7478,28-Aug-20
43.646,31-Aug-20
43.8437,01-Sep-20
44.4226,02-Sep-20
44.7187,03-Sep-20
44.2462,04-Sep-20
44.1592,07-Sep-20
43.775,08-Sep-20
43.2689,09-Sep-20
43.9806,10-Sep-20
44.0391,11-Sep-20
46.0574,14-Sep-20
46.8597,15-Sep-20
47.1192,16-Sep-20
46.9242,17-Sep-20
46.7456,18-Sep-20
44.8936,21-Sep-20
44.4785,22-Sep-20
44.3597,23-Sep-20
43.3934,24-Sep-20
44.25,25-Sep-20
45.2174,28-Sep-20
45.2225,29-Sep-20
45.3725,30-Sep-20
45.4543,01-Oct-20
45.3568,05-Oct-20
45.4298,06-Oct-20
45.0376,07-Oct-20
44.6261,08-Oct-20
44.6601,09-Oct-20
44.3257,12-Oct-20
44.2857,13-Oct-20
44.5618,14-Oct-20
43.8095,15-Oct-20
