"nav","nav_date","fund_name"
"53.7264","2021-01-15","SBI Large Cap"
"53.0658","2021-01-18","SBI Large Cap"
"53.9725","2021-01-19","SBI Large Cap"
"54.2905","2021-01-20","SBI Large Cap"
"53.8463","2021-01-21","SBI Large Cap"
"53.0916","2021-01-22","SBI Large Cap"
"52.6923","2021-01-25","SBI Large Cap"
"51.7936","2021-01-27","SBI Large Cap"
"51.3828","2021-01-28","SBI Large Cap"
"50.8227","2021-01-29","SBI Large Cap"
"53.4061","2021-02-01","SBI Large Cap"
"54.9169","2021-02-02","SBI Large Cap"
"55.572","2021-02-03","SBI Large Cap"
"56.1734","2021-02-04","SBI Large Cap"
"56.2339","2021-02-05","SBI Large Cap"
"57.1273","2021-02-08","SBI Large Cap"
"57.0651","2021-02-09","SBI Large Cap"
"57.1705","2021-02-10","SBI Large Cap"
"57.3181","2021-02-11","SBI Large Cap"
"57.323","2021-02-12","SBI Large Cap"
"58.2201","2021-02-15","SBI Large Cap"
"58.1884","2021-02-16","SBI Large Cap"
"58.0645","2021-02-17","SBI Large Cap"
"57.6748","2021-02-18","SBI Large Cap"
"56.9376","2021-02-19","SBI Large Cap"
"55.8642","2021-02-22","SBI Large Cap"
"56.1413","2021-02-23","SBI Large Cap"
"57.0522","2021-02-24","SBI Large Cap"
"57.4631","2021-02-25","SBI Large Cap"
"55.5369","2021-02-26","SBI Large Cap"
"56.4937","2021-03-01","SBI Large Cap"
"57.209","2021-03-02","SBI Large Cap"
"58.1284","2021-03-03","SBI Large Cap"
"57.6704","2021-03-04","SBI Large Cap"
"56.9587","2021-03-05","SBI Large Cap"
"57.0784","2021-03-08","SBI Large Cap"
"57.3608","2021-03-09","SBI Large Cap"
"57.6819","2021-03-10","SBI Large Cap"
"57.0622","2021-03-12","SBI Large Cap"
"56.6751","2021-03-15","SBI Large Cap"
"56.5274","2021-03-16","SBI Large Cap"
"55.703","2021-03-17","SBI Large Cap"
"55.0783","2021-03-18","SBI Large Cap"
"55.6291","2021-03-19","SBI Large Cap"
"55.7042","2021-03-22","SBI Large Cap"
"56.1201","2021-03-23","SBI Large Cap"
"54.9875","2021-03-24","SBI Large Cap"
"54.1407","2021-03-25","SBI Large Cap"
"54.8533","2021-03-26","SBI Large Cap"
"55.9509","2021-03-30","SBI Large Cap"
"55.6375","2021-03-31","SBI Large Cap"
"56.2546","2021-04-01","SBI Large Cap"
"55.3064","2021-04-05","SBI Large Cap"
"55.3538","2021-04-06","SBI Large Cap"
"56.0758","2021-04-07","SBI Large Cap"
"56.2149","2021-04-08","SBI Large Cap"
"56.0058","2021-04-09","SBI Large Cap"
"53.804","2021-04-12","SBI Large Cap"
"54.759","2021-04-13","SBI Large Cap"
