NAV,Date
40.21,09-Jun-20
40.48,10-Jun-20
40.48,10-Jun-20
40.11,11-Jun-20
40.11,11-Jun-20
40.3,12-Jun-20
40.3,12-Jun-20
39.98,15-Jun-20
39.98,15-Jun-20
40.15,16-Jun-20
40.15,16-Jun-20
40.18,17-Jun-20
40.18,17-Jun-20
40.48,18-Jun-20
40.48,18-Jun-20
40.83,19-Jun-20
40.83,19-Jun-20
41.09,22-Jun-20
41.09,22-Jun-20
41.6,23-Jun-20
41.6,23-Jun-20
41.19,24-Jun-20
41.19,24-Jun-20
41.47,25-Jun-20
41.47,25-Jun-20
41.54,26-Jun-20
41.18,29-Jun-20
41.08,30-Jun-20
41.1,01-Jul-20
41.4,02-Jul-20
41.53,03-Jul-20
41.99,06-Jul-20
42.23,07-Jul-20
41.98,08-Jul-20
42.18,09-Jul-20
42.12,10-Jul-20
41.81,13-Jul-20
41.62,14-Jul-20
41.68,15-Jul-20
41.85,16-Jul-20
42.23,17-Jul-20
42.57,20-Jul-20
42.44,21-Jul-20
42.48,22-Jul-20
42.75,23-Jul-20
42.6,24-Jul-20
42.12,27-Jul-20
42.28,28-Jul-20
42.59,29-Jul-20
42.51,30-Jul-20
42.9,31-Jul-20
43.06,03-Aug-20
43.47,04-Aug-20
43.72,05-Aug-20
44.4,06-Aug-20
44.43,07-Aug-20
44.74,10-Aug-20
44.51,11-Aug-20
44.31,12-Aug-20
44.62,13-Aug-20
44.39,14-Aug-20
44.42,17-Aug-20
45.06,18-Aug-20
45.3,19-Aug-20
45.54,20-Aug-20
45.97,21-Aug-20
46.25,24-Aug-20
46.39,25-Aug-20
46.59,26-Aug-20
46.44,27-Aug-20
46.64,28-Aug-20
45.02,31-Aug-20
45.31,01-Sep-20
45.9,02-Sep-20
46.19,03-Sep-20
45.64,04-Sep-20
45.4,07-Sep-20
45.04,08-Sep-20
44.8,09-Sep-20
45.11,10-Sep-20
45.22,11-Sep-20
46.35,14-Sep-20
46.9,15-Sep-20
47.14,16-Sep-20
46.97,17-Sep-20
46.93,18-Sep-20
45.65,21-Sep-20
45.35,22-Sep-20
45.33,23-Sep-20
44.53,24-Sep-20
45.2,25-Sep-20
46.13,28-Sep-20
46.28,29-Sep-20
46.64,30-Sep-20
46.89,01-Oct-20
46.66,05-Oct-20
46.85,06-Oct-20
46.59,07-Oct-20
46.82,08-Oct-20
46.73,09-Oct-20
46.87,12-Oct-20
46.72,13-Oct-20
46.78,14-Oct-20
46.06,15-Oct-20
46.38,16-Oct-20
46.42,19-Oct-20
46.64,20-Oct-20
46.58,21-Oct-20
46.84,22-Oct-20
47,23-Oct-20
46.42,26-Oct-20
47.3,27-Oct-20
46.97,28-Oct-20
46.88,29-Oct-20
47.06,30-Oct-20
47.3,02-Nov-20
47.67,03-Nov-20
48.1,04-Nov-20
48.72,05-Nov-20
48.84,06-Nov-20
49.41,09-Nov-20
49.07,10-Nov-20
49.08,11-Nov-20
49.45,12-Nov-20
49.73,13-Nov-20
50.57,17-Nov-20
51.03,18-Nov-20
50.75,19-Nov-20
51.28,20-Nov-20
51.92,23-Nov-20
52.25,24-Nov-20
51.23,25-Nov-20
51.52,26-Nov-20
52.49,27-Nov-20
52.71,01-Dec-20
52.87,02-Dec-20
52.81,03-Dec-20
53.06,04-Dec-20
53.14,07-Dec-20
53.08,08-Dec-20
53.26,09-Dec-20
53.02,10-Dec-20
53.1,11-Dec-20
53.49,14-Dec-20
53.76,15-Dec-20
54.11,16-Dec-20
53.9,17-Dec-20
54.03,18-Dec-20
52.43,21-Dec-20
52.71,22-Dec-20
53.8,23-Dec-20
54.23,24-Dec-20
54.68,28-Dec-20
54.63,29-Dec-20
55.03,30-Dec-20
55.17,31-Dec-20
55.5,01-Jan-21
56.26,04-Jan-21
56.6,05-Jan-21
56.54,06-Jan-21
56.7,07-Jan-21
57.33,08-Jan-21
57.47,11-Jan-21
57.23,12-Jan-21
56.95,13-Jan-21
56.94,14-Jan-21
56.2,15-Jan-21
55.29,18-Jan-21
56.23,19-Jan-21
56.81,20-Jan-21
56.57,21-Jan-21
55.87,22-Jan-21
55.45,25-Jan-21
54.84,27-Jan-21
54.53,28-Jan-21
54.06,29-Jan-21
55.51,01-Feb-21
56.61,02-Feb-21
57.6,03-Feb-21
58.15,04-Feb-21
57.8,05-Feb-21
58.68,08-Feb-21
58.53,09-Feb-21
58.8,10-Feb-21
58.93,11-Feb-21
58.94,12-Feb-21
