NAV,Date
184.634,16-Oct-20
187.442,19-Oct-20
187.41,20-Oct-20
189.09,21-Oct-20
189.639,22-Oct-20
190.784,23-Oct-20
188.871,26-Oct-20
189.85,27-Oct-20
187.957,28-Oct-20
186.756,29-Oct-20
186.897,30-Oct-20
189.357,02-Nov-20
191.564,03-Nov-20
191.55,04-Nov-20
195.463,05-Nov-20
196.12,06-Nov-20
198.852,09-Nov-20
201.544,10-Nov-20
204.645,11-Nov-20
204.103,12-Nov-20
205.316,13-Nov-20
207.492,17-Nov-20
209.053,18-Nov-20
207.579,19-Nov-20
208.685,20-Nov-20
209.137,23-Nov-20
210.933,24-Nov-20
209.746,25-Nov-20
211.448,26-Nov-20
211.155,27-Nov-20
213.294,01-Dec-20
214.292,02-Dec-20
217.101,03-Dec-20
219.611,04-Dec-20
222.834,07-Dec-20
222.548,08-Dec-20
223.842,09-Dec-20
223.17,10-Dec-20
225.591,11-Dec-20
228.152,14-Dec-20
227.231,15-Dec-20
228.18,16-Dec-20
227.455,17-Dec-20
227.963,18-Dec-20
218.459,21-Dec-20
220.988,22-Dec-20
223.649,23-Dec-20
225.426,24-Dec-20
227.691,28-Dec-20
228.025,29-Dec-20
227.886,30-Dec-20
227.882,31-Dec-20
229.118,01-Jan-21
231.609,04-Jan-21
232.309,05-Jan-21
233.112,06-Jan-21
233.95,07-Jan-21
235.796,08-Jan-21
235.891,11-Jan-21
238.013,12-Jan-21
240.427,13-Jan-21
241.236,14-Jan-21
238.972,15-Jan-21
234.895,18-Jan-21
238.045,19-Jan-21
238.931,20-Jan-21
236.437,21-Jan-21
233.293,22-Jan-21
231.944,25-Jan-21
229.431,27-Jan-21
229.308,28-Jan-21
227.699,29-Jan-21
236.307,01-Feb-21
241.791,02-Feb-21
245.003,03-Feb-21
249.252,04-Feb-21
251.027,05-Feb-21
253.747,08-Feb-21
252.676,09-Feb-21
252.584,10-Feb-21
252.307,11-Feb-21
251.905,12-Feb-21
254.688,15-Feb-21
254.749,16-Feb-21
255.956,17-Feb-21
257.977,18-Feb-21
254.078,19-Feb-21
249.679,22-Feb-21
251.437,23-Feb-21
254.546,24-Feb-21
258.285,25-Feb-21
252.162,26-Feb-21
255.27,01-Mar-21
258.128,02-Mar-21
260.969,03-Mar-21
258.898,04-Mar-21
255.429,05-Mar-21
258.154,08-Mar-21
257.183,09-Mar-21
258.258,10-Mar-21
257.034,12-Mar-21
256.313,15-Mar-21
255.963,16-Mar-21
251.888,17-Mar-21
249.156,18-Mar-21
251.181,19-Mar-21
250.901,22-Mar-21
251.506,23-Mar-21
247.24,24-Mar-21
243.874,25-Mar-21
245.562,26-Mar-21
248.057,30-Mar-21
248.127,31-Mar-21
251.496,01-Apr-21
247.147,05-Apr-21
247.442,06-Apr-21
249.397,07-Apr-21
249.581,08-Apr-21
248.762,09-Apr-21
239.872,12-Apr-21
243.878,13-Apr-21
244.403,15-Apr-21
244.516,16-Apr-21
240.67,19-Apr-21
241.014,20-Apr-21
242.122,22-Apr-21
242.368,23-Apr-21
244.368,26-Apr-21
246.246,27-Apr-21
248.192,28-Apr-21
247.317,29-Apr-21
246.761,30-Apr-21
246.897,03-May-21
246.776,04-May-21
249.634,05-May-21
250.283,06-May-21
251.585,07-May-21
255.597,10-May-21
258.39,11-May-21
257.848,12-May-21
255.799,14-May-21
258.892,17-May-21
260.078,18-May-21
260.726,19-May-21
259.912,20-May-21
263.356,21-May-21
265.217,24-May-21
265.487,25-May-21
265.451,26-May-21
266.497,27-May-21
266.198,28-May-21
267.418,31-May-21
267.448,01-Jun-21
268.772,02-Jun-21
269.968,03-Jun-21
270.685,04-Jun-21
273.598,07-Jun-21
273.581,08-Jun-21
273.094,09-Jun-21
275.124,10-Jun-21
275.499,11-Jun-21
275.121,14-Jun-21
274.897,15-Jun-21
274.149,16-Jun-21
271.849,17-Jun-21
269.085,18-Jun-21
270.791,21-Jun-21
271.037,22-Jun-21
270.321,23-Jun-21
270.08,24-Jun-21
272.241,25-Jun-21
272.619,28-Jun-21
271.75,29-Jun-21
271.625,30-Jun-21
271.331,01-Jul-21
272.15,02-Jul-21
274.222,05-Jul-21
272.978,06-Jul-21
273.73,07-Jul-21
272.23,08-Jul-21
272.282,09-Jul-21
272.807,12-Jul-21
274.566,13-Jul-21
275.491,14-Jul-21
275.729,15-Jul-21
275.681,16-Jul-21
275.638,19-Jul-21
273.356,20-Jul-21
275.485,22-Jul-21
276.737,23-Jul-21
276.287,26-Jul-21
275.182,27-Jul-21
274.857,28-Jul-21
276.536,29-Jul-21
276.689,30-Jul-21
278.592,02-Aug-21
280.549,03-Aug-21
280.927,04-Aug-21
279.866,05-Aug-21
279.862,06-Aug-21
278.571,09-Aug-21
276.011,10-Aug-21
276.086,11-Aug-21
277.645,12-Aug-21
278.092,13-Aug-21
277.59,16-Aug-21
275.917,17-Aug-21
275.458,18-Aug-21
271.47,20-Aug-21
270.154,23-Aug-21
272.956,24-Aug-21
273.766,25-Aug-21
273.099,26-Aug-21
274.806,27-Aug-21
278.406,30-Aug-21
280.02,31-Aug-21
280.247,01-Sep-21
281.122,02-Sep-21
282.159,03-Sep-21
281.744,06-Sep-21
281.15,07-Sep-21
282.402,08-Sep-21
282.961,09-Sep-21
284.192,13-Sep-21
285.071,14-Sep-21
288.145,15-Sep-21
290.487,16-Sep-21
288.844,17-Sep-21
285.214,20-Sep-21
285.975,21-Sep-21
287.075,22-Sep-21
289.886,23-Sep-21
287.891,24-Sep-21
288.611,27-Sep-21
290.964,28-Sep-21
294.891,29-Sep-21
294.417,30-Sep-21
294.092,01-Oct-21
296.646,04-Oct-21
298.211,05-Oct-21
295.746,06-Oct-21
297.146,07-Oct-21
297.015,08-Oct-21
300.146,11-Oct-21
301.057,12-Oct-21
302.64,13-Oct-21
305.119,14-Oct-21
307.852,18-Oct-21
304.152,19-Oct-21
302.199,20-Oct-21
303.377,21-Oct-21
301.207,22-Oct-21
