NAV,Date
23.6856,12-May-21
23.6901,14-May-21
23.7026,17-May-21
23.7137,18-May-21
23.7216,19-May-21
23.7258,20-May-21
23.735,21-May-21
23.7461,24-May-21
23.7549,25-May-21
23.753,27-May-21
23.7508,28-May-21
23.748,31-May-21
23.7488,01-Jun-21
23.7498,02-Jun-21
23.7595,03-Jun-21
23.7655,04-Jun-21
23.7844,07-Jun-21
23.7917,08-Jun-21
23.8064,09-Jun-21
23.8178,10-Jun-21
23.8323,11-Jun-21
23.8389,14-Jun-21
23.8272,15-Jun-21
23.8107,16-Jun-21
23.8052,17-Jun-21
23.8172,18-Jun-21
23.8308,21-Jun-21
23.8324,22-Jun-21
23.8291,23-Jun-21
23.8367,24-Jun-21
23.8347,25-Jun-21
23.8284,28-Jun-21
23.8208,29-Jun-21
23.824,30-Jun-21
23.8251,01-Jul-21
23.8265,02-Jul-21
23.8375,05-Jul-21
23.8154,06-Jul-21
23.8199,07-Jul-21
23.835,08-Jul-21
23.8405,09-Jul-21
23.832,12-Jul-21
23.8433,13-Jul-21
23.8424,14-Jul-21
23.8459,15-Jul-21
23.8593,16-Jul-21
23.8687,19-Jul-21
23.8836,20-Jul-21
23.8813,22-Jul-21
23.8839,23-Jul-21
23.897,26-Jul-21
23.9076,27-Jul-21
23.91,28-Jul-21
23.9111,29-Jul-21
23.9138,30-Jul-21
23.9297,02-Aug-21
23.9372,03-Aug-21
23.9456,04-Aug-21
23.9486,05-Aug-21
23.9273,06-Aug-21
23.9413,09-Aug-21
23.9512,10-Aug-21
23.9455,11-Aug-21
23.9539,12-Aug-21
23.9705,13-Aug-21
23.9898,17-Aug-21
24.0022,18-Aug-21
24.0135,20-Aug-21
24.0286,23-Aug-21
24.0367,24-Aug-21
24.038,25-Aug-21
24.0412,26-Aug-21
24.0552,27-Aug-21
24.0788,30-Aug-21
24.0888,31-Aug-21
24.1032,01-Sep-21
24.1222,02-Sep-21
24.1331,03-Sep-21
24.1506,06-Sep-21
24.1482,07-Sep-21
24.1526,08-Sep-21
24.16,09-Sep-21
24.1664,13-Sep-21
24.1789,14-Sep-21
24.1919,15-Sep-21
24.2012,16-Sep-21
24.2104,17-Sep-21
24.2331,20-Sep-21
24.2356,21-Sep-21
24.2399,22-Sep-21
24.2423,23-Sep-21
24.2235,24-Sep-21
24.2249,27-Sep-21
24.2291,28-Sep-21
24.2282,29-Sep-21
24.2365,30-Sep-21
24.2291,01-Oct-21
24.2388,04-Oct-21
24.231,05-Oct-21
24.2243,06-Oct-21
24.2366,07-Oct-21
24.2096,08-Oct-21
24.2119,11-Oct-21
24.2146,12-Oct-21
24.2233,13-Oct-21
24.2244,14-Oct-21
24.2247,18-Oct-21
24.2238,20-Oct-21
24.2433,21-Oct-21
24.2514,22-Oct-21
24.267,25-Oct-21
24.2615,26-Oct-21
24.2755,27-Oct-21
24.2803,28-Oct-21
24.2656,29-Oct-21
24.2644,01-Nov-21
24.2676,02-Nov-21
24.2736,03-Nov-21
24.3159,08-Nov-21
24.3317,09-Nov-21
24.3326,10-Nov-21
24.3339,11-Nov-21
24.3386,12-Nov-21
24.3544,15-Nov-21
24.3557,16-Nov-21
24.3599,17-Nov-21
24.3698,18-Nov-21
24.3831,22-Nov-21
24.3865,23-Nov-21
24.3823,24-Nov-21
24.3857,25-Nov-21
24.3894,26-Nov-21
24.394,29-Nov-21
24.4052,30-Nov-21
24.4063,01-Dec-21
24.4144,02-Dec-21
24.4058,03-Dec-21
24.4216,06-Dec-21
24.4164,07-Dec-21
24.4305,08-Dec-21
24.4333,09-Dec-21
24.4269,10-Dec-21
24.4326,13-Dec-21
24.4397,14-Dec-21
24.4461,15-Dec-21
24.4468,16-Dec-21
24.4334,17-Dec-21
24.4107,20-Dec-21
24.3893,21-Dec-21
24.3851,22-Dec-21
24.3973,23-Dec-21
24.3876,24-Dec-21
24.401,27-Dec-21
24.3891,28-Dec-21
24.3981,29-Dec-21
24.3953,30-Dec-21
24.4032,31-Dec-21
24.4149,03-Jan-22
24.3803,04-Jan-22
24.3794,05-Jan-22
24.3725,06-Jan-22
24.363,07-Jan-22
24.3553,10-Jan-22
24.3611,11-Jan-22
24.3566,12-Jan-22
24.3674,13-Jan-22
24.3733,14-Jan-22
24.3587,17-Jan-22
24.3616,18-Jan-22
24.3702,19-Jan-22
24.3801,20-Jan-22
24.3825,21-Jan-22
24.3835,24-Jan-22
24.3883,25-Jan-22
24.3597,27-Jan-22
24.3661,28-Jan-22
24.4057,31-Jan-22
24.3304,01-Feb-22
24.3044,02-Feb-22
24.299,03-Feb-22
24.303,04-Feb-22
24.3688,08-Feb-22
24.3915,09-Feb-22
24.4409,10-Feb-22
24.4604,11-Feb-22
24.4926,14-Feb-22
24.4915,15-Feb-22
24.4875,16-Feb-22
24.481,17-Feb-22
24.4951,18-Feb-22
24.4973,21-Feb-22
24.4818,22-Feb-22
24.4921,23-Feb-22
24.4826,24-Feb-22
24.4819,25-Feb-22
24.4945,28-Feb-22
24.4707,02-Mar-22
24.4529,03-Mar-22
24.4622,04-Mar-22
24.436,07-Mar-22
24.4342,08-Mar-22
24.4432,09-Mar-22
24.4658,10-Mar-22
24.459,11-Mar-22
24.4686,14-Mar-22
24.4876,15-Mar-22
24.5002,16-Mar-22
24.507,17-Mar-22
24.516,21-Mar-22
24.524,22-Mar-22
24.5334,23-Mar-22
24.5331,24-Mar-22
24.5488,25-Mar-22
24.5634,28-Mar-22
24.5641,29-Mar-22
24.569,30-Mar-22
24.5863,31-Mar-22
24.565,04-Apr-22
24.5803,05-Apr-22
24.5795,06-Apr-22
24.5832,07-Apr-22
24.5334,08-Apr-22
24.53,11-Apr-22
24.5312,12-Apr-22
24.5045,13-Apr-22
24.5376,18-Apr-22
24.5534,19-Apr-22
24.5617,20-Apr-22
24.5689,21-Apr-22
24.5748,22-Apr-22
24.6047,25-Apr-22
24.613,26-Apr-22
24.6148,27-Apr-22
24.6106,28-Apr-22
24.6113,29-Apr-22
24.624,02-May-22
24.4984,04-May-22
24.4981,05-May-22
24.4814,06-May-22
24.4804,09-May-22
24.5117,10-May-22
24.5329,11-May-22
24.5428,12-May-22
24.5178,13-May-22
24.5319,17-May-22
24.543,18-May-22
24.5598,19-May-22
24.5483,20-May-22
24.5608,23-May-22
24.578,24-May-22
24.585,25-May-22
24.5966,26-May-22
24.5978,27-May-22
24.5967,30-May-22
24.596,31-May-22
24.5934,01-Jun-22
24.5878,02-Jun-22
24.5829,03-Jun-22
24.5792,06-Jun-22
24.546,07-Jun-22
24.5777,08-Jun-22
24.5837,09-Jun-22
24.581,10-Jun-22
24.5703,13-Jun-22
24.5674,14-Jun-22
24.5684,15-Jun-22
24.5782,16-Jun-22
24.5382,17-Jun-22
24.556,20-Jun-22
24.5669,21-Jun-22
24.5786,22-Jun-22
24.5917,23-Jun-22
24.5885,24-Jun-22
24.5815,27-Jun-22
24.5729,28-Jun-22
24.5844,29-Jun-22
24.6245,30-Jun-22
24.6351,01-Jul-22
24.661,04-Jul-22
24.6633,05-Jul-22
24.6937,06-Jul-22
24.6911,07-Jul-22
24.693,08-Jul-22
24.6995,11-Jul-22
24.7297,12-Jul-22
