NAV,Date
59.5977,28-Jun-21
59.2396,29-Jun-21
59.2255,30-Jun-21
59.1359,01-Jul-21
59.4072,02-Jul-21
59.8428,05-Jul-21
59.8054,06-Jul-21
60.0688,07-Jul-21
59.5242,08-Jul-21
59.5363,09-Jul-21
59.6562,12-Jul-21
60.0592,13-Jul-21
60.2575,14-Jul-21
60.6374,15-Jul-21
60.6722,16-Jul-21
60.1597,19-Jul-21
59.4999,20-Jul-21
60.2579,22-Jul-21
60.5279,23-Jul-21
60.4308,26-Jul-21
60.1776,27-Jul-21
60.0696,28-Jul-21
60.457,29-Jul-21
60.5929,30-Jul-21
61.2102,02-Aug-21
61.9505,03-Aug-21
62.2125,04-Aug-21
62.2932,05-Aug-21
61.9544,06-Aug-21
61.9938,09-Aug-21
61.9773,10-Aug-21
61.8601,11-Aug-21
62.132,12-Aug-21
62.6205,13-Aug-21
62.4252,16-Aug-21
62.4469,17-Aug-21
62.2617,18-Aug-21
61.4601,20-Aug-21
61.4551,23-Aug-21
61.988,24-Aug-21
62.0758,25-Aug-21
62.1421,26-Aug-21
62.5225,27-Aug-21
63.5223,30-Aug-21
64.2324,31-Aug-21
64.2265,01-Sep-21
64.7521,02-Sep-21
65.1365,03-Sep-21
65.2682,06-Sep-21
65.1568,07-Sep-21
65.1606,08-Sep-21
65.1699,09-Sep-21
65.2716,13-Sep-21
65.507,14-Sep-21
66.0871,15-Sep-21
66.5141,16-Sep-21
66.3328,17-Sep-21
65.4278,20-Sep-21
65.8905,21-Sep-21
66.1693,22-Sep-21
67.2717,23-Sep-21
67.2971,24-Sep-21
67.3116,27-Sep-21
66.8038,28-Sep-21
66.8847,29-Sep-21
66.424,30-Sep-21
66.1557,01-Oct-21
66.8686,04-Oct-21
67.0449,05-Oct-21
66.3562,06-Oct-21
67.2893,07-Oct-21
67.2667,08-Oct-21
67.8148,11-Oct-21
67.9234,12-Oct-21
68.6467,13-Oct-21
69.2663,14-Oct-21
69.6222,18-Oct-21
69.0503,19-Oct-21
68.2688,20-Oct-21
68.1511,21-Oct-21
67.8136,22-Oct-21
67.6253,25-Oct-21
68.299,26-Oct-21
68.4241,27-Oct-21
67.2366,28-Oct-21
66.7934,29-Oct-21
67.8227,01-Nov-21
67.7439,02-Nov-21
67.6196,03-Nov-21
68.6438,08-Nov-21
68.675,09-Nov-21
68.6592,10-Nov-21
68.1533,11-Nov-21
68.9944,12-Nov-21
68.9861,15-Nov-21
68.7155,16-Nov-21
68.1462,17-Nov-21
67.487,18-Nov-21
66.1687,22-Nov-21
66.6855,23-Nov-21
66.3843,24-Nov-21
66.7267,25-Nov-21
64.7978,26-Nov-21
64.6509,29-Nov-21
64.5652,30-Nov-21
65.0158,01-Dec-21
65.7598,02-Dec-21
65.2252,03-Dec-21
64.2398,06-Dec-21
65.1678,07-Dec-21
66.1711,08-Dec-21
66.387,09-Dec-21
66.4609,10-Dec-21
66.1532,13-Dec-21
65.964,14-Dec-21
65.5893,15-Dec-21
65.4924,16-Dec-21
64.3132,17-Dec-21
62.6954,20-Dec-21
63.3564,21-Dec-21
64.1686,22-Dec-21
64.6104,23-Dec-21
64.3259,24-Dec-21
64.617,27-Dec-21
65.2529,28-Dec-21
65.2193,29-Dec-21
65.1266,30-Dec-21
65.8793,31-Dec-21
66.717,03-Jan-22
67.0699,04-Jan-22
67.3635,05-Jan-22
66.9208,06-Jan-22
67.1954,07-Jan-22
67.8155,10-Jan-22
68.1458,11-Jan-22
68.6508,12-Jan-22
68.721,13-Jan-22
68.7936,14-Jan-22
68.9208,17-Jan-22
68.0371,18-Jan-22
67.4226,19-Jan-22
66.9827,20-Jan-22
66.1331,21-Jan-22
64.3231,24-Jan-22
64.8604,25-Jan-22
64.3066,27-Jan-22
64.324,28-Jan-22
65.2512,31-Jan-22
66.1718,01-Feb-22
66.8002,02-Feb-22
66.148,03-Feb-22
65.8873,04-Feb-22
64.816,07-Feb-22
64.8439,08-Feb-22
65.6827,09-Feb-22
66.125,10-Feb-22
65.1988,11-Feb-22
63.1984,14-Feb-22
64.9236,15-Feb-22
64.9303,16-Feb-22
64.9128,17-Feb-22
64.6697,18-Feb-22
64.3442,21-Feb-22
63.918,22-Feb-22
63.9174,23-Feb-22
60.9817,24-Feb-22
62.6104,25-Feb-22
63.0538,28-Feb-22
62.2387,02-Mar-22
61.7803,03-Mar-22
60.8715,04-Mar-22
59.4466,07-Mar-22
60.0396,08-Mar-22
61.0808,09-Mar-22
61.9768,10-Mar-22
62.2094,11-Mar-22
62.8976,14-Mar-22
62.3611,15-Mar-22
63.4424,16-Mar-22
64.4947,17-Mar-22
63.9177,21-Mar-22
64.4022,22-Mar-22
64.2823,23-Mar-22
64.079,24-Mar-22
63.8907,25-Mar-22
64.1733,28-Mar-22
64.7003,29-Mar-22
65.2648,30-Mar-22
65.1065,31-Mar-22
65.7623,01-Apr-22
67.1177,04-Apr-22
66.985,05-Apr-22
66.4837,06-Apr-22
66.1446,07-Apr-22
66.7086,08-Apr-22
66.426,11-Apr-22
65.7781,12-Apr-22
65.7767,13-Apr-22
64.8936,18-Apr-22
63.9509,19-Apr-22
64.6159,20-Apr-22
65.4699,21-Apr-22
64.6423,22-Apr-22
63.7959,25-Apr-22
64.871,26-Apr-22
64.3269,27-Apr-22
64.8707,28-Apr-22
64.3341,29-Apr-22
64.1879,02-May-22
62.6771,04-May-22
62.7405,05-May-22
61.6379,06-May-22
61.2608,09-May-22
61.0086,10-May-22
60.7529,11-May-22
59.5505,12-May-22
59.6345,13-May-22
59.9591,16-May-22
61.3101,17-May-22
61.2122,18-May-22
59.8078,19-May-22
61.258,20-May-22
60.884,23-May-22
60.5832,24-May-22
60.1851,25-May-22
60.8244,26-May-22
61.5492,27-May-22
62.7616,30-May-22
62.7592,31-May-22
62.5925,01-Jun-22
62.7557,02-Jun-22
62.3,03-Jun-22
62.1894,06-Jun-22
61.684,07-Jun-22
61.4631,08-Jun-22
61.8679,09-Jun-22
61.107,10-Jun-22
59.6722,13-Jun-22
59.6513,14-Jun-22
59.6915,15-Jun-22
58.5535,16-Jun-22
58.2162,17-Jun-22
58.2281,20-Jun-22
59.2565,21-Jun-22
58.5049,22-Jun-22
59.2236,23-Jun-22
59.8564,24-Jun-22
60.3531,27-Jun-22
60.4539,28-Jun-22
60.3136,29-Jun-22
60.1944,30-Jun-22
60.4813,01-Jul-22
60.9518,04-Jul-22
60.8236,05-Jul-22
61.5701,06-Jul-22
62.1914,07-Jul-22
62.3926,08-Jul-22
62.5541,11-Jul-22
61.9261,12-Jul-22
61.7704,13-Jul-22
61.6305,14-Jul-22
62.0976,15-Jul-22
62.8325,18-Jul-22
63.0736,19-Jul-22
63.4224,20-Jul-22
64.0575,21-Jul-22
64.3619,22-Jul-22
64.1193,25-Jul-22
63.5497,26-Jul-22
64.1411,27-Jul-22
64.7369,28-Jul-22
65.5294,29-Jul-22
66.2155,01-Aug-22
66.0943,02-Aug-22
66.0153,03-Aug-22
66.1363,04-Aug-22
66.1675,05-Aug-22
66.6161,08-Aug-22
66.6973,10-Aug-22
67.1681,11-Aug-22
67.2293,12-Aug-22
67.9275,16-Aug-22
68.2514,17-Aug-22
68.3614,18-Aug-22
67.6992,19-Aug-22
66.8241,22-Aug-22
67.2161,23-Aug-22
67.3294,24-Aug-22
67.3029,25-Aug-22
67.4326,26-Aug-22
66.5979,29-Aug-22
68.0272,30-Aug-22
67.615,01-Sep-22
67.5947,02-Sep-22
68.0243,05-Sep-22
67.991,06-Sep-22
68.0405,07-Sep-22
68.715,08-Sep-22
68.8297,09-Sep-22
69.2189,12-Sep-22
69.5846,13-Sep-22
69.368,14-Sep-22
69.0705,15-Sep-22
67.6988,16-Sep-22
67.88,19-Sep-22
68.66,20-Sep-22
68.2174,21-Sep-22
67.933,22-Sep-22
66.807,23-Sep-22
65.5054,26-Sep-22
65.4312,27-Sep-22
64.9193,28-Sep-22
65.0109,29-Sep-22
65.9024,30-Sep-22
65.1411,03-Oct-22
66.5108,04-Oct-22
66.9628,06-Oct-22
66.817,07-Oct-22
66.47,10-Oct-22
65.4907,11-Oct-22
66.0239,12-Oct-22
65.6458,13-Oct-22
66.209,14-Oct-22
66.4778,17-Oct-22
67.0928,18-Oct-22
67.322,19-Oct-22
67.4668,20-Oct-22
67.4308,21-Oct-22
67.9651,25-Oct-22
68.3205,27-Oct-22
68.2304,28-Oct-22
69.2217,31-Oct-22
69.6529,01-Nov-22
69.4048,02-Nov-22
69.3394,03-Nov-22
69.4229,04-Nov-22
69.8002,07-Nov-22
69.6302,09-Nov-22
69.1853,10-Nov-22
69.9991,11-Nov-22
69.897,14-Nov-22
70.1579,15-Nov-22
70.0948,16-Nov-22
69.9133,17-Nov-22
69.6839,18-Nov-22
